Vivado Simulator 2020.2
Time resolution is 1 ps
Time:               325000, Counter:          34, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               327000, Counter:          35, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               329000, Counter:          36, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               331000, Counter:          37, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               333000, Counter:          38, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               335000, Counter:          39, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               337000, Counter:          40, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               339000, Counter:          41, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               341000, Counter:          42, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               343000, Counter:          43, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               345000, Counter:          44, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               347000, Counter:          45, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               349000, Counter:          46, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               351000, Counter:          47, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               353000, Counter:          48, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               355000, Counter:          49, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               357000, Counter:          50, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               359000, Counter:          51, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               361000, Counter:          52, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               363000, Counter:          53, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               365000, Counter:          54, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               367000, Counter:          55, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               369000, Counter:          56, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               371000, Counter:          57, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               373000, Counter:          58, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               375000, Counter:          59, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               377000, Counter:          60, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               379000, Counter:          61, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               381000, Counter:          62, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               383000, Counter:          63, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               385000, Counter:          64, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               387000, Counter:          65, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               389000, Counter:          66, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               391000, Counter:          67, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               393000, Counter:          68, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               395000, Counter:          69, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               397000, Counter:          70, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               399000, Counter:          71, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               401000, Counter:          72, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               403000, Counter:          73, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               405000, Counter:          74, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               407000, Counter:          75, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               409000, Counter:          76, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               411000, Counter:          77, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               413000, Counter:          78, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               415000, Counter:          79, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               417000, Counter:          80, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               419000, Counter:          81, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               421000, Counter:          82, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               423000, Counter:          83, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               425000, Counter:          84, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               427000, Counter:          85, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               429000, Counter:          86, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               431000, Counter:          87, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               433000, Counter:          88, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               435000, Counter:          89, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               437000, Counter:          90, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               439000, Counter:          91, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               441000, Counter:          92, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               443000, Counter:          93, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               445000, Counter:          94, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               447000, Counter:          95, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               449000, Counter:          96, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               451000, Counter:          97, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               453000, Counter:          98, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               455000, Counter:          99, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               457000, Counter:         100, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               459000, Counter:         101, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               461000, Counter:         102, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               463000, Counter:         103, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               465000, Counter:         104, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               467000, Counter:         105, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               469000, Counter:         106, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               471000, Counter:         107, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               473000, Counter:         108, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               475000, Counter:         109, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               477000, Counter:         110, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               479000, Counter:         111, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               481000, Counter:         112, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               483000, Counter:         113, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               485000, Counter:         114, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               487000, Counter:         115, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               489000, Counter:         116, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               491000, Counter:         117, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               493000, Counter:         118, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               495000, Counter:         119, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               497000, Counter:         120, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               499000, Counter:         121, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               501000, Counter:         122, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               503000, Counter:         123, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               505000, Counter:         124, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               507000, Counter:         125, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
